firstName,lastName,temporaryDisplayName,personId,teamId,jersey,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country
Justin,Holiday,"Holiday, Justin",203200,1610612758,9,F-G,6,6,1.98,180.0,81.6,1989-04-05,2012,8,Washington,Washington/USA,USA
JaMychal,Green,"Green, JaMychal",203210,1610612743,0,F-C,6,8,2.03,227.0,103.0,1990-06-21,2014,7,Alabama,Alabama/USA,USA
Nerlens,Noel,"Noel, Nerlens",203457,1610612752,3,C-F,6,11,2.11,220.0,99.8,1994-04-10,2014,7,Kentucky,Kentucky/USA,USA
Alex,Len,"Len, Alex",203458,1610612758,25,C,7,0,2.13,250.0,113.4,1993-06-16,2013,8,Maryland,Maryland/Ukraine,Ukraine
Ben,McLemore,"McLemore, Ben",203463,1610612757,23,G,6,3,1.9,195.0,88.5,1993-02-11,2013,8,Kansas,Kansas/USA,USA
CJ,McCollum,"McCollum, CJ",203468,1610612740,3,G,6,3,1.9,190.0,86.2,1991-09-19,2013,8,Lehigh,Lehigh/USA,USA
Dennis,Schroder,"Schroder, Dennis",203471,1610612745,17,G,6,1,1.85,172.0,78.0,1993-09-15,2013,8,Braunschweig,Braunschweig/Germany,Germany
Dewayne,Dedmon,"Dedmon, Dewayne",203473,1610612748,21,C,7,0,2.13,245.0,111.1,1989-08-12,2013,8,Southern California,Southern California/USA,USA
Gorgui,Dieng,"Dieng, Gorgui",203476,1610612737,10,C,6,10,2.08,248.0,112.5,1990-01-18,2013,8,Louisville,Louisville/Senegal,Senegal
Kelly,Olynyk,"Olynyk, Kelly",203482,1610612765,13,F-C,6,11,2.11,240.0,108.9,1991-04-19,2013,8,Gonzaga,Gonzaga/Canada,Canada
Kentavious,Caldwell-Pope,"Caldwell-Pope, Kentavious",203484,1610612764,1,G,6,5,1.96,204.0,92.5,1993-02-18,2013,8,Georgia,Georgia/USA,USA
Mason,Plumlee,"Plumlee, Mason",203486,1610612766,24,F-C,6,11,2.11,254.0,115.2,1990-03-05,2013,8,Duke,Duke/USA,USA
Mike,Muscala,"Muscala, Mike",203488,1610612760,33,F-C,6,10,2.08,240.0,108.9,1991-07-01,2013,8,Bucknell,Bucknell/USA,USA
Otto,Porter Jr.,"Porter Jr., Otto",203490,1610612744,32,F,6,8,2.03,198.0,89.8,1993-06-03,2013,8,Georgetown,Georgetown/USA,USA
Reggie,Bullock,"Bullock, Reggie",203493,1610612742,25,G-F,6,6,1.98,205.0,93.0,1991-03-16,2013,8,North Carolina,North Carolina/USA,USA
Robert,Covington,"Covington, Robert",203496,1610612746,23,F,6,7,2.01,209.0,94.8,1990-12-14,2013,8,Tennessee State,Tennessee State/USA,USA
Rudy,Gobert,"Gobert, Rudy",203497,1610612762,27,C,7,1,2.16,258.0,117.0,1992-06-26,2013,8,Cholet,Cholet/France,France
Steven,Adams,"Adams, Steven",203500,1610612763,4,C,6,11,2.11,265.0,120.2,1993-07-20,2013,8,Pittsburgh,Pittsburgh/New Zealand,New Zealand
Tim,Hardaway Jr.,"Hardaway Jr., Tim",203501,1610612742,11,G-F,6,5,1.96,205.0,93.0,1992-03-16,2013,8,Michigan,Michigan/USA,USA
